iter	MultiClass
0	1.062792772
1	1.032979909
2	1.002893959
3	0.9777381855
4	0.9561473087
5	0.9356305671
6	0.9180701198
7	0.9005110093
8	0.8843830215
9	0.8704448369
10	0.8576297999
11	0.8450031935
12	0.8321708814
13	0.8199836288
14	0.8110549374
15	0.8020670395
16	0.7940918427
17	0.7861921842
18	0.7791331812
19	0.7710123607
20	0.7635936854
21	0.7567846926
22	0.7519323255
23	0.7462400828
24	0.7402056524
25	0.7334826826
26	0.7286554197
27	0.7242524246
28	0.7196207287
29	0.7160885205
30	0.7103294281
31	0.7073298836
32	0.7041107161
33	0.7012329732
34	0.696778185
35	0.6934389922
36	0.6897376998
37	0.6873415497
38	0.6858345572
39	0.6826223536
40	0.6804240646
41	0.6771570974
42	0.6736943291
43	0.6715296095
44	0.6696376626
45	0.6671241784
46	0.6651924549
47	0.6632009032
48	0.6596727337
49	0.6570945891
50	0.6554145121
51	0.6522079959
52	0.6498237923
53	0.6475160959
54	0.6452248419
55	0.6435842222
56	0.6409906857
57	0.6397814117
58	0.638338812
59	0.6360819511
60	0.6350097152
61	0.6337554381
62	0.6329563431
63	0.6304757432
64	0.6295648602
65	0.6279668605
66	0.6265408215
67	0.6247432365
68	0.6234305288
69	0.6221541133
70	0.6203988908
71	0.6178835343
72	0.6166645882
73	0.6154311429
74	0.6132146016
75	0.6121980395
76	0.6115882067
77	0.6106099753
78	0.6088483126
79	0.6073998381
80	0.6061506945
81	0.6032916226
82	0.6015640065
83	0.600979745
84	0.5990689256
85	0.5980403084
86	0.5971593484
87	0.5959505686
88	0.5954677651
89	0.5946137441
90	0.5938833366
91	0.5929934811
92	0.5925209411
93	0.5914224691
94	0.5909704909
95	0.5898174409
96	0.5877153816
97	0.5867090592
98	0.5854380775
99	0.5844697966
100	0.5837463066
101	0.5823068589
102	0.5802447835
103	0.5798917657
104	0.5784233298
105	0.5774102684
106	0.5758957918
107	0.5749092979
108	0.5738932766
109	0.572747011
110	0.5715521042
111	0.5707626354
112	0.5699435804
113	0.5689251323
114	0.5682182682
115	0.5672717583
116	0.5659098009
117	0.5652267926
118	0.5646125853
119	0.5639135785
120	0.5623120173
121	0.5611098194
122	0.5600966861
123	0.5594979604
124	0.558842834
125	0.5582221272
126	0.5559839574
127	0.5548323502
128	0.5543833211
129	0.5536591942
130	0.5527803603
131	0.5522453186
132	0.551382168
133	0.550439994
134	0.5495858146
135	0.5493654577
136	0.5486331152
137	0.5480711559
138	0.547668238
139	0.5463144037
140	0.5458183043
141	0.5447383791
142	0.5437577128
143	0.5432635718
144	0.5424018076
145	0.5413458211
146	0.5392802584
