iter	Passed	Remaining
0	68	34156
1	73	18182
2	81	13420
3	87	10814
4	93	9300
5	102	8426
6	107	7567
7	113	6984
8	120	6590
9	125	6172
10	132	5897
11	140	5702
12	145	5432
13	152	5282
14	159	5143
15	165	4993
16	172	4910
17	177	4746
18	184	4665
19	191	4588
20	196	4475
21	204	4434
22	211	4391
23	217	4316
24	226	4301
25	236	4306
26	241	4232
27	246	4157
28	255	4151
29	260	4083
30	265	4016
31	270	3961
32	275	3899
33	280	3840
34	285	3791
35	291	3762
36	299	3745
37	305	3713
38	311	3678
39	319	3679
40	324	3635
41	331	3615
42	338	3596
43	346	3593
44	354	3582
45	360	3554
46	367	3542
47	374	3523
48	381	3512
49	387	3488
50	397	3497
51	402	3464
52	409	3454
53	416	3442
54	428	3470
55	434	3441
56	440	3421
57	446	3398
58	452	3378
59	460	3374
60	466	3354
61	470	3325
62	477	3309
63	483	3292
64	489	3275
65	499	3282
66	504	3259
67	508	3230
68	513	3209
69	518	3182
70	525	3177
71	536	3192
72	541	3169
73	546	3147
74	552	3130
75	557	3111
76	561	3085
77	568	3073
78	575	3066
79	583	3061
80	590	3053
81	596	3042
82	607	3052
83	613	3040
84	623	3042
85	628	3024
86	637	3027
87	642	3008
88	649	2998
89	654	2982
90	659	2962
91	665	2949
92	670	2932
93	676	2922
94	681	2906
95	689	2900
96	695	2890
97	701	2879
98	707	2865
99	713	2855
100	720	2844
101	725	2831
102	731	2820
103	740	2818
104	745	2804
105	751	2793
106	756	2779
107	763	2770
108	771	2768
109	780	2766
110	786	2754
111	791	2740
112	798	2734
113	804	2725
114	812	2718
115	820	2717
116	826	2706
117	830	2689
118	838	2685
119	844	2673
120	856	2682
121	863	2674
122	871	2672
123	877	2661
124	884	2654
125	890	2644
126	898	2638
127	904	2628
128	910	2618
129	916	2608
130	922	2599
131	928	2587
132	934	2579
133	945	2583
134	953	2578
135	960	2570
136	971	2574
137	981	2575
138	990	2572
139	998	2566
140	1007	2564
141	1017	2564
142	1025	2560
143	1030	2548
144	1038	2542
145	1044	2533
146	1058	2541
147	1067	2539
148	1091	2572
149	1103	2573
150	1116	2579
151	1129	2585
152	1140	2585
153	1158	2603
154	1168	2600
155	1178	2598
156	1186	2592
157	1192	2581
158	1200	2573
159	1208	2567
160	1214	2557
161	1223	2552
162	1231	2545
163	1235	2532
164	1242	2522
165	1252	2520
166	1257	2507
167	1263	2496
168	1270	2488
169	1275	2476
170	1286	2475
171	1298	2475
172	1307	2470
173	1316	2466
174	1327	2464
175	1332	2452
176	1341	2447
177	1346	2436
178	1354	2429
179	1362	2421
180	1367	2410
181	1374	2400
182	1380	2391
183	1387	2382
184	1393	2371
185	1398	2361
186	1407	2355
187	1413	2346
188	1421	2339
189	1427	2328
